axis,stage,frequency_hz,input_psd,gain,phase_deg,coherence
Roll,inner,12.20703125,0.057183961198130635,2.2626542902344773,-27.07581576307723,0.6268415576442401
Roll,inner,12.451171875,0.0714932046213968,2.2837929064381166,-40.233395131239924,0.6895099224233822
Roll,inner,12.6953125,0.0823570682548528,2.0640802386849186,-49.12843366768009,0.719651169059776
Roll,inner,12.939453125,0.0868825056089828,1.8338862358530836,-50.191165947563555,0.7848356452324782
Roll,inner,13.18359375,0.08087238027570125,1.8558510314972207,-49.82590139531618,0.8070952031157212
Roll,inner,13.427734375,0.0645011413067996,1.9502971322737024,-53.3707453306178,0.7003241032580824
Roll,inner,13.671875,0.044271352037211956,1.8860842848568666,-66.39616867664725,0.5476678051845075
Roll,inner,13.916015625,0.030102251009087776,1.4638008778275347,-88.28568982800033,0.3943500076138278
Roll,inner,14.16015625,0.0201336853361593,1.0264804971689214,-88.36268859029967,0.19338692933439788
Roll,inner,14.404296875,0.01565078070394202,0.8069535133302747,-50.20063690100618,0.08569962577198759
Roll,inner,14.6484375,0.014171420743247438,0.8826498364705182,-50.39469222218891,0.10427480922342129
Roll,inner,14.892578125,0.012989912892207946,0.7899415556762165,-35.642343766918,0.07776050528441913
Roll,inner,15.13671875,0.012765269300068285,1.2141613476859494,-48.52385040624266,0.15280170772367752
Roll,inner,15.380859375,0.013193657186653262,1.2104795469311567,-46.12134938496211,0.15188097951681293
Roll,inner,15.625,0.013806984056578006,0.9860519455297637,-46.171259875931305,0.10645529250596916
Roll,inner,15.869140625,0.013052949343728727,1.500834676880024,-36.24150942705146,0.19249229425364908
Roll,inner,16.11328125,0.01338936100501277,1.9331295866327487,-35.599807276652676,0.2806828065710623
Roll,inner,16.357421875,0.011322615673207958,1.9672846152061707,-42.146434672109116,0.23420171611515941
Roll,inner,16.6015625,0.009581405780732775,1.9173346534539417,-46.38230649493481,0.24104685949548701
Roll,inner,16.845703125,0.011286205595227026,1.578270107383973,-39.416733328417514,0.1893695358352241
Roll,inner,17.08984375,0.013862197563886302,1.6763604133698264,-40.97222456206056,0.2273482746486277
Roll,inner,17.333984375,0.017623990299081536,2.441998940891169,-51.78078020878473,0.4672529675863701
Roll,inner,17.578125,0.019137001340286498,2.5794014764273783,-65.00934969116584,0.5569133918583808
Roll,inner,17.822265625,0.019498966303890166,1.8385990188623345,-72.88989269576707,0.40742367984034444
Roll,inner,18.06640625,0.017973362956160772,1.5420146335438674,-75.50833747601277,0.31925939417926386
Roll,inner,18.310546875,0.016148443366211226,1.5601957933822068,-56.20542097425856,0.3005720958671979
Roll,inner,18.5546875,0.0157709736630176,2.024493666114943,-60.41671527263081,0.408651545120408
Roll,inner,18.798828125,0.016493432539898004,2.1290788292127036,-72.11666070733538,0.40884894155906765
Roll,inner,19.04296875,0.015421376767967775,2.2208029207364803,-89.44631493027929,0.4471059456432943
Roll,inner,19.287109375,0.013289944799567821,1.939450553536682,-98.66317240890056,0.3266157293217039
