t,epoch,px,py,pz,vx,vy,vz,yaw,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar
29.87542144,0,-6.1455384643246385,5.19801510538594,5.176798898926819,-0.05,0.63,0.51,2.2759093446006062,1.5153610000000002,1.5153610000000002,4.2394810000000005,0.18662399999999998,0.18662399999999998,0.18662399999999998,0.030461741978670857
29.957595392,0,-6.137222396833043,5.25354941955869,5.209685814551591,0.17,0.32,0.53,2.2759093446006062,1.5153610000000002,1.5153610000000002,4.2394810000000005,0.195364,0.195364,0.195364,0.030461741978670857
30.057725184000002,0,-6.128906339676229,5.297976868942099,5.2497588540109845,0.19,0.47000000000000003,0.56,2.2759093446006062,1.517824,1.517824,4.247720999999999,0.1936,0.1936,0.1936,0.030461741978670857
30.157830144000002,0,-6.153854349568705,5.353511211002094,5.2898219554319965,-0.12,0.55,0.51,2.2759093446006062,1.5202890000000002,1.5202890000000002,4.255969,0.17222500000000002,0.17222500000000002,0.17222500000000002,0.030461741978670857
30.258014208000002,0,-6.120590215615978,5.420152368686028,5.3299167151402145,0.0,0.16,0.8300000000000001,2.2759093446006062,1.5202890000000002,1.5202890000000002,4.255969,0.17639999999999997,0.17639999999999997,0.17639999999999997,0.030461741978670857
30.358170112000003,0,-6.112274177831046,5.442366090327123,5.370000128078523,0.18,0.15,0.62,2.274164015348611,1.5202890000000002,1.5202890000000002,4.260096,0.188356,0.188356,0.188356,0.030461741978670857
30.456326144000002,0,-6.128906206646504,5.453472968615557,5.3945541906653744,0.03,0.14,0.59,2.2759093446006062,1.522756,1.522756,4.268355999999999,0.17724099999999998,0.17724099999999998,0.17724099999999998,0.030461741978670857
30.558454528000002,0,-6.137222197031842,5.486793569327677,5.420101950507892,-0.34,0.54,0.8,2.2759093446006062,1.522756,1.522756,4.293184,0.146689,0.146689,0.146689,0.030461741978670857
30.658579712,0,-6.128906130324695,5.542327884265765,5.445148603111534,-0.11,0.16,0.87,2.2759093446006062,1.5252250000000003,1.5252250000000003,4.305625000000001,0.174724,0.174724,0.174724,0.030461741978670857
30.758739712,0,-6.170486227287538,5.542327920156371,5.470203965055049,-0.03,0.01,0.85,2.2759093446006062,1.5252250000000003,1.5252250000000003,4.322241000000001,0.18662399999999998,0.18662399999999998,0.18662399999999998,0.030461741978670857
30.874868992000003,0,-6.195434284843524,5.542327941417277,5.499254096271507,-0.26,0.03,1.07,2.2759093446006062,1.527696,1.527696,4.343056000000001,0.181476,0.181476,0.181476,0.030461741978670857
30.957013248000003,0,-6.237014369667979,5.553434841401189,5.5198027590676375,-0.42,0.08,0.99,2.2759093446006062,1.527696,1.527696,4.3639209999999995,0.17139600000000002,0.17139600000000002,0.17139600000000002,0.030461741978670857
31.057146368,0,-6.261962438592509,5.542327999345183,5.544851396888454,0.0,-0.19,0.98,2.274164015348611,1.5301690000000003,1.5301690000000003,4.380649,0.20611600000000002,0.20611600000000002,0.20611600000000002,0.030461741978670857
31.159305984000003,0,-6.261962409274419,5.575648591353047,5.5704069695211516,-0.31,0.59,0.86,2.274164015348611,1.5301690000000003,1.5301690000000003,4.397409,0.18576099999999998,0.18576099999999998,0.18576099999999998,0.030461741978670857
31.257445120000003,0,-6.295226475693126,5.586755484964554,5.5949568055165955,-0.19,-0.24,0.73,2.274164015348611,1.532644,1.532644,4.414201,0.19980900000000001,0.19980900000000001,0.19980900000000001,0.030461741978670857
31.357555968000003,0,-6.345122598947702,5.57564866460889,5.619999871921472,-0.59,-0.05,0.75,2.272418686096617,1.532644,1.532644,4.4268160000000005,0.150544,0.150544,0.150544,0.030461741978670857
31.457682944000002,0,-6.386702675519504,5.5978624310899265,5.597005161975709,-0.4,0.28,0.72,2.272418686096617,1.5351210000000002,1.5351210000000002,4.435236,0.16321600000000003,0.16321600000000003,0.16321600000000003,0.030461741978670857
31.557862912,0,-6.444914820808947,5.586755618379877,5.5739980363327035,-0.13,-0.38,0.48,2.272418686096617,1.5351210000000002,1.5351210000000002,4.447881,0.2025,0.2025,0.2025,0.030461741978670857
31.658048,0,-6.494810944459397,5.575648799313345,5.550989734841011,-0.71,-0.09,0.59,2.272418686096617,1.5351210000000002,1.5351210000000002,4.4605440000000005,0.140625,0.140625,0.140625,0.030461741978670857
31.758156032000002,0,-6.528074989577959,5.608969422743749,5.527999129871972,-0.38,0.48,0.73,2.272418686096617,1.5351210000000002,1.5351210000000002,4.473225000000001,0.16892100000000002,0.16892100000000002,0.16892100000000002,0.030461741978670857
31.876294656000002,0,-6.544707009356316,5.631183166069265,5.500867656185932,-0.09,-0.15,0.5,2.2706733568446227,1.5351210000000002,1.5351210000000002,4.4901610000000005,0.20070400000000002,0.20070400000000002,0.20070400000000002,0.030461741978670857
31.956467968000002,0,-6.594603153676328,5.5978626195081596,5.482455218058583,-0.33,-0.35000000000000003,0.62,2.2706733568446227,1.5376,1.5376,4.515625,0.173889,0.173889,0.173889,0.030461741978670857
32.05860992,0,-6.63618324807302,5.597862657986752,5.458997507200792,-0.3,0.11,0.66,2.2706733568446227,1.5376,1.5376,4.541161000000001,0.17305600000000004,0.17305600000000004,0.17305600000000004,0.030461741978670857
